model,split,metric,mean,ci_lo,ci_hi,n,vs_benchmark_mean_diff,vs_benchmark_ci_lo,vs_benchmark_ci_hi,vs_benchmark_n_paired,vs_benchmark_p_two_sided
cat_delta,val_strain_only,residual_pcc_vs_batch_aware_mu_ctx,0.349942563860079,0.34306454994118624,0.3573020958493106,1333,0.04106598213999832,0.032284040441183964,0.04960960572208577,1333.0,0.001
cat_delta,val_strain_only,abundance_pcc,0.9874005793468322,0.9868808662879758,0.9878662620787901,1333,0.006344750566959466,0.006035397129253236,0.006618886760807729,1333.0,0.001
cat_delta,val_both,fold_change_pcc,0.11848473503798267,0.10399550039088269,0.13346367242386245,269,-0.12698759519603137,-0.1442843987539372,-0.10900376452490454,269.0,0.001
cat_delta,val_both,residual_pcc_vs_mu_ctx,0.03134866504278109,0.016395590180414876,0.04516402803274453,269,-0.24943243620418132,-0.2676225502034878,-0.23099779727940678,269.0,0.001
cat_delta,val_both,residual_pcc_vs_mu_drug,0.0328206732095372,0.016121033114359914,0.049317276120622665,269,-0.2343859275724903,-0.25292365541249523,-0.21409948932713047,269.0,0.001
cat_delta,val_both,residual_pcc_vs_batch_aware_mu_ctx,-0.07933821218847596,-0.09418317408820762,-0.06416940596668322,269,-0.3742324214376277,-0.3953428114132283,-0.3534273339911167,269.0,0.001
cat_delta,val_both,abundance_pcc,0.9757613688888502,0.974825317531602,0.976618895526007,269,-0.00762948972394557,-0.008286814888222213,-0.006968246454579678,269.0,0.001
cat_delta,val_time,fold_change_pcc,0.45393213275365174,0.42655818260520517,0.48098088614286577,139,-0.023849514230275717,-0.04567083123601099,-0.0011047488193565722,139.0,0.04
cat_delta,val_time,residual_pcc_vs_mu_ctx,0.32456086134583745,0.2865546619028889,0.3655183926562102,139,0.0011021273344588615,-0.029397854458817502,0.03340089404504578,139.0,0.936
cat_delta,val_time,residual_pcc_vs_mu_drug,0.3797533986474031,0.3568429214404827,0.40302796545894715,139,-0.061633640378959076,-0.09597730794805637,-0.026082636915876926,139.0,0.001
cat_delta,val_time,residual_pcc_vs_batch_aware_mu_ctx,0.1799689274455632,0.14116588253479104,0.22095502637388698,139,0.17998847190339812,0.14138792002653613,0.2212173749492601,139.0,0.001
cat_delta,val_time,abundance_pcc,0.9872470929696255,0.9859972076760739,0.9883319657611705,139,-0.0024265456130799197,-0.003738898567073723,-0.0008265982935332975,139.0,0.008
lgb_abs,val_chem_only,fold_change_pcc,0.4391061134836011,0.43226149112275236,0.4461791167954819,1065,-0.04746684434335679,-0.051901818809846664,-0.04357577340726263,1065.0,0.001
lgb_abs,val_chem_only,residual_pcc_vs_mu_ctx,0.41619364679426446,0.40719340776625224,0.4244821897423615,1065,-0.03656796687586187,-0.04506675179475956,-0.02977869231471534,1065.0,0.001
lgb_abs,val_chem_only,residual_pcc_vs_mu_drug,0.4361948332854305,0.42869927762989096,0.44394979037180543,1065,-0.05151918390650664,-0.05776679260577529,-0.04625519344133547,1065.0,0.001
lgb_abs,val_chem_only,residual_pcc_vs_batch_aware_mu_ctx,0.18395356079822134,0.17239652168193195,0.1947905290067442,1065,0.18358697667898866,0.17204553141563475,0.1942066653287096,1065.0,0.001
lgb_abs,val_chem_only,abundance_pcc,0.9906106034223061,0.9902711382717316,0.9909282743082206,1065,-0.002667903432105109,-0.0028370667315764115,-0.0025218914553359257,1065.0,0.001
lgb_abs,val_strain_only,fold_change_pcc,0.2789049215141651,0.26806040854430674,0.29008724042255535,1333,0.0012363763147994573,-0.009608209769343599,0.012234775799735663,1333.0,0.844
lgb_abs,val_strain_only,residual_pcc_vs_mu_ctx,0.3181114500005127,0.3102210421930295,0.3266325642861364,1333,0.023333136405817727,0.01375714099026404,0.03290251753670352,1333.0,0.001
lgb_abs,val_strain_only,residual_pcc_vs_mu_drug,0.2535201889763084,0.24310853582177036,0.2628471998701538,1333,-0.04687922923500278,-0.05630224532955453,-0.037770399087371176,1333.0,0.001
lgb_abs,val_strain_only,residual_pcc_vs_batch_aware_mu_ctx,0.36334434733512405,0.35638996466736883,0.3704757676415559,1333,0.05446776561504337,0.04614625022570327,0.0626614048685539,1333.0,0.001
