model,n_rounds,total_score,m1_abundance,m2_fold_change,m3_s1_chem,m3_s2_strain,m3_s3_both,m3_time,m4_dep
ens_delta,400,0.3547543764117037,0.6417868130478753,0.29540541065135206,0.29486238765240913,0.26481118134617065,0.12229714155250003,0.5082666079521004,0.18165519728689328
ens_abs,400,0.36257205839114137,0.6224642223966518,0.31024400025459464,0.3161477998041824,0.2731776414195979,0.1569417629479471,0.510056436604855,0.18606431251532302
ens_all,400,0.3655907830511457,0.6472134628152999,0.30675633274852077,0.3110695230466127,0.2731403103995763,0.143698258871593,0.5170529217850989,0.19158963157766176
lgb_delta,600,0.4028701435612267,0.7473600179333237,0.31829711430343843,0.33921604820065565,0.28269674633387193,0.18701054893406419,0.5422478389378944,0.2595676619639761
xgb_delta,600,0.41552832975710885,0.7667900393142668,0.3363485051300871,0.36394659671080626,0.2785518279199035,0.19164929179426682,0.5415190568493602,0.25850186506820827
cat_delta,600,0.26494019652846124,0.4972429331452883,0.24149938125457404,0.16609799776333778,0.2134535951017938,0.06088469109676698,0.3860821309156307,0.13716209824227776
lgb_abs,600,0.39592946933826595,0.6677967235579805,0.3319158855146942,0.37124476981478716,0.28221343190761305,0.19749235090201692,0.5290626889565586,0.24743521821175057
xgb_abs,600,0.3650148507235604,0.5040745538330581,0.33876866765007013,0.3635709617831274,0.2907140777902076,0.20171506565724714,0.5290475386677209,0.24225269827031554
cat_abs,600,0.2778869250828731,0.5342695105518087,0.24774778089737043,0.1673171472260855,0.21217491656456997,0.09888616004518352,0.43750780961502267,0.12755933014054777
ens_delta,600,0.3514088910647504,0.6388251351732919,0.29394715878176053,0.28185235583513557,0.2688536897740556,0.12141227509539708,0.5011450803172681,0.17775994884360774
ens_abs,600,0.35880099081205347,0.6186278405597417,0.3075199596062037,0.30448487013069725,0.27528628110038045,0.14995563558944813,0.5115117502608445,0.18335666519647917
ens_all,600,0.36189385517618966,0.6438165165178358,0.30456960248860315,0.298179274007439,0.27605620663027264,0.13986687891173752,0.5157467234468154,0.1872075001000345
