model,library,target,regime,feature,gain_share
lgb_delta,lgb,delta,chem_novel,ctrl_median,0.024735889416625183
lgb_delta,lgb,delta,chem_novel,ctrl_detect,0.012399951382680605
lgb_delta,lgb,delta,chem_novel,has_drug_prior,0.0
lgb_delta,lgb,delta,chem_novel,has_strain_prior,0.0
lgb_delta,lgb,delta,chem_novel,data_source,0.007585095656875507
lgb_delta,lgb,delta,chem_novel,instrument,0.003471995197228568
lgb_delta,lgb,delta,chem_novel,Strains,0.02746204159305192
lgb_delta,lgb,delta,chem_novel,Medium,0.0014986283295961489
lgb_delta,lgb,delta,chem_novel,perturbation_no_concentration,0.0
lgb_delta,lgb,delta,chem_novel,Yeast_cell_plate,0.18553638468552763
lgb_delta,lgb,delta,chem_novel,pert_id,0.22383042579159138
xgb_delta,xgb,delta,chem_novel,c_ctrl,0.004322063236512724
xgb_delta,xgb,delta,chem_novel,c_ctrl_centered,0.004941351940567238
xgb_delta,xgb,delta,chem_novel,d_ctx,0.017530781072890415
xgb_delta,xgb,delta,chem_novel,d_ctxb,0.17918323485975393
xgb_delta,xgb,delta,chem_novel,d_strain,0.01889334622653251
xgb_delta,xgb,delta,chem_novel,d_drug,0.0
xgb_delta,xgb,delta,chem_novel,d_drug_time,0.0
xgb_delta,xgb,delta,chem_novel,d_drug_strain,0.0
xgb_delta,xgb,delta,chem_novel,d_batch,0.017962372983608886
xgb_delta,xgb,delta,chem_novel,d_batch_time,0.015245664066919351
xgb_delta,xgb,delta,chem_novel,d_plate,0.08306560537027848
xgb_delta,xgb,delta,chem_novel,d_instr,0.004563706840059777
xgb_delta,xgb,delta,chem_novel,d_time,0.001701765180073377
xgb_delta,xgb,delta,chem_novel,d_mtt,0.008276971272128881
xgb_delta,xgb,delta,chem_novel,y_ctxb,0.008131438076114892
xgb_delta,xgb,delta,chem_novel,y_mtt,0.005054032998746877
xgb_delta,xgb,delta,chem_novel,prot_mean_y,0.00796461373501799
xgb_delta,xgb,delta,chem_novel,prot_sd_y,0.0028425679063039315
xgb_delta,xgb,delta,chem_novel,prot_detect,0.014195038945887362
xgb_delta,xgb,delta,chem_novel,prot_mean_d,0.00303198363776253
xgb_delta,xgb,delta,chem_novel,prot_sd_d,0.007257492620638647
xgb_delta,xgb,delta,chem_novel,prot_mean_absd,0.0039037498702681017
xgb_delta,xgb,delta,chem_novel,pert_time_num,0.006032535207553448
xgb_delta,xgb,delta,chem_novel,temperature_num,0.0024942378407467685
xgb_delta,xgb,delta,chem_novel,well_row,0.061128534083155994
xgb_delta,xgb,delta,chem_novel,well_col,0.07586932350438164
xgb_delta,xgb,delta,chem_novel,ctrl_median,0.01993900565835967
xgb_delta,xgb,delta,chem_novel,ctrl_detect,0.014720330908458347
xgb_delta,xgb,delta,chem_novel,has_drug_prior,0.0
xgb_delta,xgb,delta,chem_novel,has_strain_prior,0.0
xgb_delta,xgb,delta,chem_novel,data_source,0.010139041345646192
xgb_delta,xgb,delta,chem_novel,instrument,0.0026256560968851883
xgb_delta,xgb,delta,chem_novel,Strains,0.036161530436313996
xgb_delta,xgb,delta,chem_novel,Medium,0.0017954279971791416
xgb_delta,xgb,delta,chem_novel,perturbation_no_concentration,0.0
xgb_delta,xgb,delta,chem_novel,Yeast_cell_plate,0.16539580706322096
xgb_delta,xgb,delta,chem_novel,pert_id,0.19563078901803274
cat_delta,cat,delta,chem_novel,c_ctrl,0.006777565297857386
cat_delta,cat,delta,chem_novel,c_ctrl_centered,0.007623742663026311
cat_delta,cat,delta,chem_novel,d_ctx,0.015383668048978567
cat_delta,cat,delta,chem_novel,d_ctxb,0.2136482862291494
cat_delta,cat,delta,chem_novel,d_strain,0.02256889429732393
cat_delta,cat,delta,chem_novel,d_drug,0.0
cat_delta,cat,delta,chem_novel,d_drug_time,0.0
cat_delta,cat,delta,chem_novel,d_drug_strain,0.0
cat_delta,cat,delta,chem_novel,d_batch,0.028162347613681343
cat_delta,cat,delta,chem_novel,d_batch_time,0.007158161456932252
cat_delta,cat,delta,chem_novel,d_plate,0.06577693748072878
cat_delta,cat,delta,chem_novel,d_instr,0.0034530014666400324
cat_delta,cat,delta,chem_novel,d_time,0.0006687366969152617
cat_delta,cat,delta,chem_novel,d_mtt,0.0013551204948494225
cat_delta,cat,delta,chem_novel,y_ctxb,0.016205112607821055
cat_delta,cat,delta,chem_novel,y_mtt,0.0026825425242414957
cat_delta,cat,delta,chem_novel,prot_mean_y,0.018007507633565154
cat_delta,cat,delta,chem_novel,prot_sd_y,0.0011752101872073185
cat_delta,cat,delta,chem_novel,prot_detect,0.026395099318877163
cat_delta,cat,delta,chem_novel,prot_mean_d,0.0012510879015931128
cat_delta,cat,delta,chem_novel,prot_sd_d,0.0075005286107834605
cat_delta,cat,delta,chem_novel,prot_mean_absd,0.004349912992462896
cat_delta,cat,delta,chem_novel,pert_time_num,0.002097454668252426
cat_delta,cat,delta,chem_novel,temperature_num,7.936930331618322e-06
cat_delta,cat,delta,chem_novel,well_row,0.009017604997232767
cat_delta,cat,delta,chem_novel,well_col,0.019789914434122428
cat_delta,cat,delta,chem_novel,ctrl_median,0.004948894250692163
cat_delta,cat,delta,chem_novel,ctrl_detect,0.0031013806842055233
cat_delta,cat,delta,chem_novel,has_drug_prior,0.0
cat_delta,cat,delta,chem_novel,has_strain_prior,0.0
cat_delta,cat,delta,chem_novel,data_source,0.0656518782190348
cat_delta,cat,delta,chem_novel,instrument,0.0015031041871091243
cat_delta,cat,delta,chem_novel,Strains,0.1078232883550169
cat_delta,cat,delta,chem_novel,Medium,0.00013480432184086036
cat_delta,cat,delta,chem_novel,perturbation_no_concentration,0.0
cat_delta,cat,delta,chem_novel,Yeast_cell_plate,0.10238645962192937
cat_delta,cat,delta,chem_novel,pert_id,0.2333938158075979
lgb_abs,lgb,abs,chem_novel,c_ctrl,0.42261464604217025
lgb_abs,lgb,abs,chem_novel,c_ctrl_centered,0.3356125060182016
lgb_abs,lgb,abs,chem_novel,d_ctx,0.00012061326717103941
lgb_abs,lgb,abs,chem_novel,d_ctxb,0.000609415818823956
lgb_abs,lgb,abs,chem_novel,d_strain,0.00022002475343496977
lgb_abs,lgb,abs,chem_novel,d_drug,0.0
lgb_abs,lgb,abs,chem_novel,d_drug_time,0.0
lgb_abs,lgb,abs,chem_novel,d_drug_strain,0.0
lgb_abs,lgb,abs,chem_novel,d_batch,0.00032774555349091684
lgb_abs,lgb,abs,chem_novel,d_batch_time,5.6414903458044975e-05
lgb_abs,lgb,abs,chem_novel,d_plate,0.0007375833482389729
lgb_abs,lgb,abs,chem_novel,d_instr,7.885308495518137e-05
lgb_abs,lgb,abs,chem_novel,d_time,2.0141090159823545e-05
lgb_abs,lgb,abs,chem_novel,d_mtt,5.2905362751123745e-05
lgb_abs,lgb,abs,chem_novel,y_ctxb,0.21439591567837377
lgb_abs,lgb,abs,chem_novel,y_mtt,0.01350626892176326
lgb_abs,lgb,abs,chem_novel,prot_mean_y,0.00033294180571770356
lgb_abs,lgb,abs,chem_novel,prot_sd_y,0.0002669395331264654
lgb_abs,lgb,abs,chem_novel,prot_detect,0.0005102683353411106
lgb_abs,lgb,abs,chem_novel,prot_mean_d,0.00014773891212411337
lgb_abs,lgb,abs,chem_novel,prot_sd_d,0.0001363620263268226
lgb_abs,lgb,abs,chem_novel,prot_mean_absd,6.111777382579793e-05
lgb_abs,lgb,abs,chem_novel,pert_time_num,7.644006242275915e-05
lgb_abs,lgb,abs,chem_novel,temperature_num,2.543376470683232e-05
lgb_abs,lgb,abs,chem_novel,well_row,0.000496668315285224
lgb_abs,lgb,abs,chem_novel,well_col,0.0008933603848259914
lgb_abs,lgb,abs,chem_novel,ctrl_median,0.00020644465216593423
lgb_abs,lgb,abs,chem_novel,ctrl_detect,0.0001349743878094684
lgb_abs,lgb,abs,chem_novel,has_drug_prior,0.0
lgb_abs,lgb,abs,chem_novel,has_strain_prior,0.0
lgb_abs,lgb,abs,chem_novel,data_source,0.0001227730400373911
lgb_abs,lgb,abs,chem_novel,instrument,5.494401047894265e-05
lgb_abs,lgb,abs,chem_novel,Strains,0.00038724125384059733
lgb_abs,lgb,abs,chem_novel,Medium,3.4967704926458513e-05
lgb_abs,lgb,abs,chem_novel,perturbation_no_concentration,0.0
lgb_abs,lgb,abs,chem_novel,Yeast_cell_plate,0.003191683580087274
lgb_abs,lgb,abs,chem_novel,pert_id,0.004566666613958185
xgb_abs,xgb,abs,chem_novel,c_ctrl,0.26177323894193266
xgb_abs,xgb,abs,chem_novel,c_ctrl_centered,0.4493163598518518
xgb_abs,xgb,abs,chem_novel,d_ctx,4.588151342168337e-05
xgb_abs,xgb,abs,chem_novel,d_ctxb,0.0007022259029207567
xgb_abs,xgb,abs,chem_novel,d_strain,0.0003773601019098026
xgb_abs,xgb,abs,chem_novel,d_drug,0.0
xgb_abs,xgb,abs,chem_novel,d_drug_time,0.0
xgb_abs,xgb,abs,chem_novel,d_drug_strain,0.0
xgb_abs,xgb,abs,chem_novel,d_batch,0.0002787666581142119
xgb_abs,xgb,abs,chem_novel,d_batch_time,6.950402384114748e-05
xgb_abs,xgb,abs,chem_novel,d_plate,0.0006353815249542966
xgb_abs,xgb,abs,chem_novel,d_instr,8.390010092176553e-05
xgb_abs,xgb,abs,chem_novel,d_time,2.39891960407974e-05
xgb_abs,xgb,abs,chem_novel,d_mtt,5.1795030503645475e-05
xgb_abs,xgb,abs,chem_novel,y_ctxb,0.25925569715530034
xgb_abs,xgb,abs,chem_novel,y_mtt,0.012048353357560744
xgb_abs,xgb,abs,chem_novel,prot_mean_y,0.0016361269210177628
xgb_abs,xgb,abs,chem_novel,prot_sd_y,0.0002703530878119028
xgb_abs,xgb,abs,chem_novel,prot_detect,0.0027674920380350793
xgb_abs,xgb,abs,chem_novel,prot_mean_d,5.7748639308493355e-05
xgb_abs,xgb,abs,chem_novel,prot_sd_d,0.0001636513227530341
xgb_abs,xgb,abs,chem_novel,prot_mean_absd,0.00011663683190148977
xgb_abs,xgb,abs,chem_novel,pert_time_num,0.00010416362280920038
xgb_abs,xgb,abs,chem_novel,temperature_num,2.6513448475048285e-05
xgb_abs,xgb,abs,chem_novel,well_row,0.0005147704818752515
xgb_abs,xgb,abs,chem_novel,well_col,0.0007566304569031104
xgb_abs,xgb,abs,chem_novel,ctrl_median,0.0002263577917098968
xgb_abs,xgb,abs,chem_novel,ctrl_detect,0.00015537342633708157
xgb_abs,xgb,abs,chem_novel,has_drug_prior,0.0
xgb_abs,xgb,abs,chem_novel,has_strain_prior,0.0
xgb_abs,xgb,abs,chem_novel,data_source,0.00018326961256096407
xgb_abs,xgb,abs,chem_novel,instrument,4.964641559331883e-05
xgb_abs,xgb,abs,chem_novel,Strains,0.0005318102521031259
xgb_abs,xgb,abs,chem_novel,Medium,3.304484641693265e-05
xgb_abs,xgb,abs,chem_novel,perturbation_no_concentration,0.0
xgb_abs,xgb,abs,chem_novel,Yeast_cell_plate,0.0032292903253993994
xgb_abs,xgb,abs,chem_novel,pert_id,0.004514667119715266
cat_abs,cat,abs,chem_novel,c_ctrl,0.3116223360592695
cat_abs,cat,abs,chem_novel,c_ctrl_centered,0.3275116967261129
cat_abs,cat,abs,chem_novel,d_ctx,0.0005205557904915414
cat_abs,cat,abs,chem_novel,d_ctxb,0.005649299320874422
cat_abs,cat,abs,chem_novel,d_strain,0.002137056281260382
cat_abs,cat,abs,chem_novel,d_drug,0.0
cat_abs,cat,abs,chem_novel,d_drug_time,0.0
cat_abs,cat,abs,chem_novel,d_drug_strain,0.0
cat_abs,cat,abs,chem_novel,d_batch,0.0012853965143100827
cat_abs,cat,abs,chem_novel,d_batch_time,0.0003027110919890772
cat_abs,cat,abs,chem_novel,d_plate,0.00471184334073765
cat_abs,cat,abs,chem_novel,d_instr,0.00013582076168285105
cat_abs,cat,abs,chem_novel,d_time,1.644468670939468e-05
cat_abs,cat,abs,chem_novel,d_mtt,4.1208112075941236e-05
cat_abs,cat,abs,chem_novel,y_ctxb,0.22663982456202095
cat_abs,cat,abs,chem_novel,y_mtt,0.04403465088382677
