regime,candidate,n_iterations,n_dev_samples,fit_seconds,sel_objective,m2_pcc_per_sample,resid_pcc_vs_mu_ctx,resid_pcc_vs_mu_drug,m2_pcc_pooled,param_num_leaves,param_learning_rate,param_min_data_in_leaf,param_feature_fraction,param_bagging_fraction,param_bagging_freq,param_lambda_l2,param_objective,param_max_depth,param_alpha
both_novel,deep,200,400,13.3,0.162787,0.157835,0.239952,0.164859,0.157694,127,0.06,400,0.8,0.8,1,1.0,regression,-1,
both_novel,deep,350,400,13.3,0.165321,0.160455,0.241146,0.167347,0.157771,127,0.06,400,0.8,0.8,1,1.0,regression,-1,
both_novel,deep,500,400,13.3,0.16583,0.160976,0.24132,0.168007,0.157152,127,0.06,400,0.8,0.8,1,1.0,regression,-1,
both_novel,deep_slow,50,400,14.1,0.135115,0.128533,0.235596,0.139952,0.142547,127,0.03,400,0.8,0.8,1,1.0,regression,-1,
both_novel,deep_slow,100,400,14.1,0.141236,0.135623,0.228161,0.144127,0.142324,127,0.03,400,0.8,0.8,1,1.0,regression,-1,
both_novel,deep_slow,200,400,14.1,0.156608,0.151602,0.235345,0.157961,0.150204,127,0.03,400,0.8,0.8,1,1.0,regression,-1,
both_novel,deep_slow,350,400,14.1,0.162804,0.157834,0.240275,0.164864,0.154353,127,0.03,400,0.8,0.8,1,1.0,regression,-1,
both_novel,deep_slow,500,400,14.1,0.164815,0.159843,0.242084,0.167094,0.154355,127,0.03,400,0.8,0.8,1,1.0,regression,-1,
both_novel,strong_l2,50,400,9.4,0.136025,0.130451,0.222901,0.138332,0.140327,63,0.06,200,0.8,0.8,1,20.0,regression,-1,
both_novel,strong_l2,100,400,9.4,0.153715,0.148873,0.231443,0.153458,0.152901,63,0.06,200,0.8,0.8,1,20.0,regression,-1,
both_novel,strong_l2,200,400,9.4,0.161786,0.157021,0.237763,0.162064,0.159722,63,0.06,200,0.8,0.8,1,20.0,regression,-1,
both_novel,strong_l2,350,400,9.4,0.164057,0.159215,0.240076,0.16551,0.160651,63,0.06,200,0.8,0.8,1,20.0,regression,-1,
both_novel,strong_l2,500,400,9.4,0.165324,0.160444,0.241429,0.167296,0.159887,63,0.06,200,0.8,0.8,1,20.0,regression,-1,
both_novel,low_ff,50,400,8.6,0.148731,0.143321,0.235444,0.14858,0.163732,63,0.06,200,0.55,0.8,1,1.0,regression,-1,
both_novel,low_ff,100,400,8.6,0.158352,0.153446,0.236806,0.158388,0.157967,63,0.06,200,0.55,0.8,1,1.0,regression,-1,
both_novel,low_ff,200,400,8.6,0.163322,0.15827,0.24207,0.165401,0.153537,63,0.06,200,0.55,0.8,1,1.0,regression,-1,
both_novel,low_ff,350,400,8.6,0.167397,0.162356,0.24584,0.169613,0.153595,63,0.06,200,0.55,0.8,1,1.0,regression,-1,
both_novel,low_ff,500,400,8.6,0.168227,0.163247,0.245607,0.170531,0.151802,63,0.06,200,0.55,0.8,1,1.0,regression,-1,
both_novel,huber,50,400,9.7,0.135582,0.129709,0.226564,0.13857,0.145701,63,0.06,200,0.8,0.8,1,1.0,huber,-1,1.0
both_novel,huber,100,400,9.7,0.149096,0.143898,0.231462,0.149882,0.151413,63,0.06,200,0.8,0.8,1,1.0,huber,-1,1.0
both_novel,huber,200,400,9.7,0.157749,0.152709,0.2375,0.158642,0.157252,63,0.06,200,0.8,0.8,1,1.0,huber,-1,1.0
both_novel,huber,350,400,9.7,0.161015,0.155956,0.240388,0.162588,0.157444,63,0.06,200,0.8,0.8,1,1.0,huber,-1,1.0
both_novel,huber,500,400,9.7,0.162968,0.157934,0.241936,0.164556,0.157111,63,0.06,200,0.8,0.8,1,1.0,huber,-1,1.0
both_novel,deep_huber,50,400,13.5,0.137903,0.131823,0.230463,0.142626,0.148247,127,0.06,400,0.8,0.8,1,1.0,huber,-1,1.0
both_novel,deep_huber,100,400,13.5,0.152507,0.147159,0.235582,0.155002,0.153689,127,0.06,400,0.8,0.8,1,1.0,huber,-1,1.0
both_novel,deep_huber,200,400,13.5,0.159305,0.154079,0.240292,0.161938,0.153751,127,0.06,400,0.8,0.8,1,1.0,huber,-1,1.0
both_novel,deep_huber,350,400,13.5,0.163669,0.158502,0.243531,0.166491,0.153263,127,0.06,400,0.8,0.8,1,1.0,huber,-1,1.0
both_novel,deep_huber,500,400,13.5,0.164853,0.159744,0.243814,0.167636,0.150471,127,0.06,400,0.8,0.8,1,1.0,huber,-1,1.0
